                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0644,                0.95048,                 1.4909,                0.80474,                0.69293,                0.74672,                0.47215,                 1.2132,                0.89968,                 1.6791,               0.005743,               0.005743,               0.005743
                     46,                 1.0499,                 0.9395,                 1.4749,                0.77051,                0.71042,                0.74063,                 0.4751,                  1.207,                0.90973,                 1.6717,               0.005644,               0.005644,               0.005644
                     47,                 1.0553,                0.95099,                 1.4783,                 0.8088,                0.70849,                0.76439,                0.48559,                 1.2031,                0.88639,                 1.6618,               0.005545,               0.005545,               0.005545
                     48,                 1.0394,                0.92625,                 1.4609,                 0.8444,                0.69268,                0.76274,                0.48434,                 1.2017,                0.88791,                 1.6694,               0.005446,               0.005446,               0.005446
                     49,                 1.0481,                0.93301,                 1.4683,                0.81072,                0.70006,                0.74601,                 0.4775,                 1.2038,                0.89821,                 1.6612,               0.005347,               0.005347,               0.005347
                     50,                 1.0471,                0.92765,                  1.469,                0.81291,                 0.7025,                0.74323,                0.47712,                 1.2085,                0.90533,                 1.6642,               0.005248,               0.005248,               0.005248
                     51,                 1.0314,                0.90112,                  1.459,                0.80394,                0.72761,                0.75865,                0.49163,                 1.1994,                0.86892,                 1.6534,               0.005149,               0.005149,               0.005149
                     52,                 1.0332,                0.90995,                 1.4545,                0.78358,                0.73038,                0.75706,                0.48629,                 1.2075,                0.86883,                 1.6526,                0.00505,                0.00505,                0.00505
                     53,                  1.029,                0.89658,                 1.4511,                0.78653,                0.71071,                 0.7496,                0.48015,                 1.1882,                0.87636,                 1.6483,               0.004951,               0.004951,               0.004951
                     54,                 1.0172,                0.88489,                 1.4448,                 0.7908,                0.72591,                0.75788,                0.48687,                 1.1882,                0.86274,                 1.6492,               0.004852,               0.004852,               0.004852
                     55,                 1.0248,                 0.8959,                 1.4501,                0.81083,                0.69561,                0.75108,                  0.484,                 1.1967,                0.86725,                 1.6485,               0.004753,               0.004753,               0.004753
                     56,                 1.0212,                0.88236,                 1.4471,                0.81131,                0.72098,                0.77237,                0.49342,                 1.1881,                 0.8315,                 1.6399,               0.004654,               0.004654,               0.004654
                     57,                 1.0084,                0.87483,                  1.433,                0.80944,                0.72831,                0.77421,                 0.4942,                 1.1975,                0.83718,                 1.6594,               0.004555,               0.004555,               0.004555
                     58,                 1.0072,                0.87347,                 1.4346,                0.78729,                0.74549,                 0.7776,                0.49855,                   1.19,                0.84459,                 1.6535,               0.004456,               0.004456,               0.004456
                     59,                 1.0038,                0.85873,                 1.4309,                0.77875,                0.74979,                0.77652,                0.49723,                 1.1829,                0.83489,                  1.637,               0.004357,               0.004357,               0.004357
                     60,                0.99885,                0.85425,                 1.4256,                0.83238,                0.72033,                0.78263,                 0.5035,                 1.1798,                0.81861,                 1.6381,               0.004258,               0.004258,               0.004258
                     61,                 1.0019,                0.84642,                 1.4269,                0.79036,                0.74062,                0.76738,                0.49866,                 1.1778,                0.83036,                 1.6302,               0.004159,               0.004159,               0.004159
                     62,                0.99576,                0.84449,                  1.415,                0.81469,                0.74572,                0.77871,                0.50333,                 1.1762,                0.81213,                 1.6294,                0.00406,                0.00406,                0.00406
                     63,                 0.9859,                0.83073,                 1.4132,                0.82078,                0.73475,                0.78682,                0.51365,                 1.1797,                 0.8088,                 1.6332,               0.003961,               0.003961,               0.003961
                     64,                0.98234,                0.82888,                 1.4092,                0.83938,                0.72241,                0.78443,                0.51099,                 1.1689,                0.80408,                 1.6268,               0.003862,               0.003862,               0.003862
                     65,                0.97144,                0.81905,                 1.4011,                 0.8315,                 0.7187,                0.77187,                0.50152,                 1.1686,                0.82528,                 1.6251,               0.003763,               0.003763,               0.003763
                     66,                0.97626,                0.81817,                  1.404,                0.81027,                0.71002,                 0.7665,                0.50257,                 1.1725,                0.82459,                 1.6255,               0.003664,               0.003664,               0.003664
                     67,                 0.9712,                0.80683,                 1.4018,                0.79757,                 0.7331,                0.77211,                0.50502,                 1.1634,                0.81676,                 1.6203,               0.003565,               0.003565,               0.003565
                     68,                 0.9654,                0.80677,                 1.3996,                0.83083,                0.72685,                0.77361,                0.50592,                 1.1666,                0.81148,                 1.6225,               0.003466,               0.003466,               0.003466
                     69,                0.95773,                 0.7927,                 1.3896,                0.82723,                0.73565,                0.77384,                0.50791,                 1.1634,                0.81381,                 1.6164,               0.003367,               0.003367,               0.003367
                     70,                0.95359,                0.79672,                 1.3869,                0.83169,                0.73006,                0.78093,                0.50874,                 1.1711,                 0.8005,                  1.624,               0.003268,               0.003268,               0.003268
                     71,                0.95272,                 0.7933,                 1.3856,                0.85126,                0.72766,                0.78652,                0.51104,                 1.1692,                0.79363,                 1.6236,               0.003169,               0.003169,               0.003169
                     72,                0.95536,                0.78146,                 1.3784,                0.82875,                 0.7363,                0.78677,                0.51105,                 1.1702,                0.79357,                 1.6259,                0.00307,                0.00307,                0.00307
                     73,                0.94436,                0.77422,                 1.3781,                  0.828,                 0.7226,                0.77794,                0.50765,                 1.1642,                0.80323,                 1.6217,               0.002971,               0.002971,               0.002971
                     74,                0.94233,                0.77593,                 1.3736,                0.83333,                0.72817,                0.78077,                0.51007,                 1.1664,                0.79026,                 1.6215,               0.002872,               0.002872,               0.002872
                     75,                0.94446,                0.78328,                 1.3775,                0.83548,                0.73826,                0.78565,                0.51232,                 1.1721,                0.78381,                 1.6216,               0.002773,               0.002773,               0.002773
                     76,                0.93743,                0.76784,                 1.3773,                0.82102,                0.74432,                0.78119,                0.50946,                 1.1722,                0.78943,                 1.6284,               0.002674,               0.002674,               0.002674
                     77,                0.93689,                0.76454,                 1.3738,                0.83628,                0.73855,                0.78348,                0.51396,                 1.1695,                0.78565,                 1.6225,               0.002575,               0.002575,               0.002575
                     78,                0.92716,                0.75245,                 1.3608,                0.82328,                0.73929,                 0.7833,                0.51109,                 1.1695,                0.78762,                 1.6227,               0.002476,               0.002476,               0.002476
                     79,                0.93224,                0.75213,                  1.368,                0.82535,                0.73499,                0.78163,                 0.5105,                 1.1646,                0.79049,                 1.6185,               0.002377,               0.002377,               0.002377
                     80,                 0.9353,                0.75781,                 1.3669,                0.81972,                0.74533,                0.77867,                0.51018,                 1.1643,                0.78875,                   1.62,               0.002278,               0.002278,               0.002278
